date,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率,ma50,ma200
2026-01-14 14:15:00,5.36,5.36,5.37,5.36,0.0,0.0,5811.0,3116477.0,0.19,0.0,5.4176,5.425800000000001
2026-01-14 14:20:00,5.37,5.34,5.37,5.33,-0.37,-0.02,70884.0,37915168.0,0.75,0.03,5.4155999999999995,5.42545
2026-01-14 14:25:00,5.34,5.34,5.35,5.33,0.0,0.0,37592.0,20074094.0,0.37,0.02,5.4134,5.4251
2026-01-14 14:30:00,5.35,5.34,5.35,5.33,0.0,0.0,23686.0,12647674.0,0.37,0.01,5.4112,5.4248
2026-01-14 14:35:00,5.34,5.33,5.35,5.33,-0.19,-0.01,12430.0,6636878.0,0.37,0.01,5.4088,5.42445
2026-01-14 14:40:00,5.34,5.34,5.34,5.33,0.19,0.01,10213.0,5450463.0,0.19,0.0,5.406600000000001,5.42415
2026-01-14 14:45:00,5.34,5.29,5.34,5.28,-0.94,-0.05,159908.0,84884086.0,1.12,0.07,5.403599999999999,5.423500000000001
2026-01-14 14:50:00,5.29,5.27,5.3,5.27,-0.38,-0.02,101683.0,53731088.0,0.57,0.04,5.400400000000001,5.4228000000000005
2026-01-14 14:55:00,5.28,5.28,5.29,5.27,0.19,0.01,50905.0,26867432.0,0.38,0.02,5.3974,5.4222
2026-01-14 15:00:00,5.27,5.27,5.29,5.27,-0.19,-0.01,34504.0,18197773.0,0.38,0.01,5.3942,5.4215
2026-01-15 09:35:00,5.29,5.29,5.3,5.27,0.38,0.02,49748.0,26306648.0,0.57,0.02,5.3912,5.4209000000000005
2026-01-15 09:40:00,5.29,5.26,5.29,5.26,-0.57,-0.03,66167.0,34875275.0,0.57,0.03,5.3876,5.42015
2026-01-15 09:45:00,5.27,5.27,5.28,5.26,0.19,0.01,25869.0,13621052.0,0.38,0.01,5.384600000000001,5.419449999999999
2026-01-15 09:50:00,5.27,5.27,5.28,5.26,0.0,0.0,12687.0,6685412.0,0.38,0.01,5.3814,5.4187
2026-01-15 09:55:00,5.27,5.27,5.27,5.26,0.0,0.0,8619.0,4541382.0,0.19,0.0,5.3782,5.417949999999999
2026-01-15 10:00:00,5.26,5.27,5.28,5.26,0.0,0.0,13497.0,7111951.0,0.38,0.01,5.3748000000000005,5.417249999999999
2026-01-15 10:05:00,5.27,5.26,5.27,5.26,-0.19,-0.01,8349.0,4397981.0,0.19,0.0,5.3713999999999995,5.4165
